date,title,subtitle,claps,responses,story_url
01/07/2019,This Is The Reason Why You Should Practice Humility,-,695,3,https://medium.com/swlh/this-is-the-reason-why-you-should-practice-humility-4ac9b5810f10?source=collection_archive---------15-----------------------
01/07/2019,Am I Leading Well?,Gaining perspective on your leadership.,70,0,https://medium.com/swlh/am-i-leading-well-9fdd2729884e?source=collection_archive---------16-----------------------
01/07/2019,How To Go Public with your Personal Brand,-,178,0,https://medium.com/swlh/how-to-go-public-with-your-personal-brand-64d3b94d6f3d?source=collection_archive---------17-----------------------
01/07/2019,A New Year’s Goal: To Create a Career That I Don’t Need A Vacation From,-,161,0,https://medium.com/swlh/a-new-years-goal-to-create-a-career-that-i-don-t-need-a-vacation-from-d17e7d35570a?source=collection_archive---------18-----------------------
01/07/2019,How boost your superpowers with systems and supporters,I’ve worked with over 200 companies since 1999…,332,1,https://medium.com/swlh/how-boost-your-superpowers-with-systems-and-supporters-8db2a33e50?source=collection_archive---------19-----------------------
01/07/2019,Business Processes and How to Maintain Them,-,15,1,https://medium.com/swlh/business-processes-and-how-to-maintain-them-eb4ac3896f38?source=collection_archive---------20-----------------------
01/07/2019,Three Secrets You Need To Unlock A Happy New Year,And Don’t Believe Everything You’ve Read About Them…,659,2,https://medium.com/swlh/three-secrets-you-need-to-unlock-a-happy-new-year-ccce8034e3f7?source=collection_archive---------21-----------------------
01/07/2019,Your Business is Not Complete Without Portfolios. Here’s Why.,-,68,0,https://medium.com/swlh/your-business-is-not-complete-without-portfolios-heres-why-dbd4ad5022d?source=collection_archive---------22-----------------------
01/07/2019,I Don’t Believe in Writers Block,-,798,3,https://medium.com/swlh/i-dont-believe-in-writers-block-b167ee0584fe?source=collection_archive---------23-----------------------
01/08/2019,How We Achieve +65% YOY Growth by Ignoring Conventional Startup Advice,-,5.7K,22,https://medium.com/swlh/how-we-achieve-65-yoy-growth-by-ignoring-conventional-startup-advice-24a3eef619c1?source=collection_archive---------0-----------------------
01/08/2019,How to Start Your Mastermind Group,A group of people that keep each other accountable.,2.3K,14,https://medium.com/swlh/how-to-start-your-mastermind-group-f6eb5bd354d5?source=collection_archive---------1-----------------------
01/08/2019,Top Web Development Trends You Need To Consider For Your Project In 2020,-,377,5,https://medium.com/swlh/top-web-development-trends-you-need-to-consider-for-your-project-in-2019-37e4c83b691d?source=collection_archive---------2-----------------------
01/08/2019,How To Be Productive When You Just Don’t Feel Like It,-,190,0,https://medium.com/swlh/how-to-be-productive-when-you-just-dont-feel-like-it-2ef9a94bca5?source=collection_archive---------3-----------------------
